#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         609     1.72224     1.90791   0.0184005
         610     1.72066      1.9076   0.0183729
         611     1.71905     1.90729   0.0183455
         612     1.71743     1.90698   0.0183181
         613     1.71579     1.90667   0.0182909
         614     1.71413     1.90635   0.0182638
         615     1.71245     1.90604   0.0182368
         616     1.71076     1.90572   0.0182099
         617     1.70905      1.9054   0.0181832
         618     1.70732     1.90508   0.0181566
         619     1.70558     1.90476   0.0181302
         620     1.70384     1.90444   0.0181038
         621     1.70208     1.90411   0.0180776
         622     1.70031     1.90378   0.0180515
         623     1.69853     1.90345   0.0180255
         624     1.69675     1.90312   0.0179997
         625     1.69496     1.90279    0.017974
         626     1.69317     1.90245   0.0179484
         627     1.69137     1.90212   0.0179229
         628     1.68957     1.90178   0.0178976
         629     1.68777     1.90144   0.0178723
         630     1.68596      1.9011   0.0178472
         631     1.68415     1.90075   0.0178223
         632     1.68235     1.90041   0.0177974
         633     1.68054     1.90006   0.0177727
         634     1.67873     1.89971   0.0177481
         635     1.67692     1.89936   0.0177236
         636     1.67511     1.89901   0.0176992
         637      1.6733     1.89865    0.017675
         638     1.67149      1.8983   0.0176509
         639     1.66968     1.89794   0.0176269
         640     1.66787     1.89758    0.017603
         641     1.66606     1.89722   0.0175793
         642     1.66425     1.89686   0.0175556
         643     1.66244     1.89649   0.0175321
         644     1.66063     1.89613   0.0175087
         645     1.65882     1.89576   0.0174854
         646       1.657     1.89539   0.0174623
         647     1.65518     1.89502   0.0174392
         648     1.65336     1.89464   0.0174163
         649     1.65153     1.89427   0.0173935
         650      1.6497     1.89389   0.0173708
         651     1.64787     1.89351   0.0173482
         652     1.64603     1.89314   0.0173258
         653     1.64419     1.89275   0.0173034
         654     1.64234     1.89237   0.0172812
         655     1.64049     1.89199   0.0172591
         656     1.63863      1.8916   0.0172371
         657     1.63677     1.89121   0.0172152
         658      1.6349     1.89082   0.0171935
         659     1.63303     1.89043   0.0171718
         660     1.63115     1.89004   0.0171503
         661     1.62927     1.88964   0.0171289
         662     1.62738     1.88925   0.0171076
         663     1.62549     1.88885   0.0170864
         664      1.6236     1.88845   0.0170654
         665     1.62171     1.88805   0.0170444
         666     1.61981     1.88765   0.0170236
         667     1.61792     1.88724   0.0170029
         668     1.61603     1.88684   0.0169823
         669     1.61415     1.88643   0.0169618
         670     1.61227     1.88602   0.0169414
         671     1.61039     1.88561   0.0169211
         672     1.60853      1.8852    0.016901
         673     1.60668     1.88478   0.0168809
         674     1.60484     1.88437    0.016861
         675     1.60301     1.88395   0.0168411
         676     1.60121     1.88353   0.0168214
         677     1.59943     1.88311   0.0168018
         678     1.59767     1.88269   0.0167823
         679     1.59594     1.88227   0.0167629
         680     1.59423     1.88185   0.0167436
         681     1.59256     1.88142   0.0167244
         682     1.59092       1.881   0.0167053
         683     1.58931     1.88057   0.0166863
         684     1.58775     1.88014   0.0166674
         685     1.58623     1.87971   0.0166486
         686     1.58475     1.87928   0.0166299
         687     1.58332     1.87885   0.0166112
         688     1.58194     1.87842   0.0165927
         689     1.58061     1.87799   0.0165743
         690     1.57933     1.87755   0.0165559
         691     1.57812     1.87712   0.0165376
         692     1.57696     1.87669   0.0165194
         693     1.57586     1.87625   0.0165012
         694     1.57483     1.87582   0.0164832
         695     1.57387     1.87538   0.0164652
         696     1.57297     1.87495   0.0164473
         697     1.57215     1.87451   0.0164294
         698     1.57139     1.87408   0.0164116
         699     1.57071     1.87365   0.0163939
         700     1.57009     1.87321   0.0163762
         701     1.56956     1.87278   0.0163585
         702      1.5691     1.87235    0.016341
         703     1.56872     1.87191   0.0163234
         704     1.56841     1.87148   0.0163059
         705     1.56818     1.87105   0.0162885
         706     1.56803     1.87062   0.0162711
         707     1.56796      1.8702   0.0162537
         708     1.56796     1.86977   0.0162363
         709     1.56804     1.86934    0.016219
         710     1.56821     1.86892   0.0162017
         711     1.56845      1.8685   0.0161844
         712     1.56876     1.86808   0.0161672
         713     1.56915     1.86766   0.0161499
         714     1.56962     1.86724   0.0161327
         715     1.57017     1.86682   0.0161155
         716     1.57078     1.86641   0.0160983
         717     1.57148       1.866   0.0160811
         718     1.57224     1.86559   0.0160639
         719     1.57307     1.86518   0.0160467
         720     1.57397     1.86478   0.0160295
         721     1.57493     1.86438   0.0160123
         722     1.57596     1.86398   0.0159951
         723     1.57705     1.86358   0.0159779
         724     1.57821     1.86319   0.0159607
         725     1.57942     1.86279   0.0159435
         726     1.58069     1.86241   0.0159263
         727     1.58201     1.86202    0.015909
         728     1.58338     1.86164   0.0158918
         729     1.58481     1.86126   0.0158745
         730     1.58628     1.86088   0.0158572
         731      1.5878     1.86051     0.01584
         732     1.58936     1.86014   0.0158226
         733     1.59096     1.85977   0.0158053
         734      1.5926     1.85941    0.015788
