#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         261     1.07906     1.46493   0.0237185
         262     1.07961     1.46346   0.0236735
         263     1.08014       1.462   0.0236283
         264     1.08066     1.46055   0.0235829
         265     1.08117     1.45912   0.0235373
         266     1.08166      1.4577   0.0234916
         267     1.08215      1.4563   0.0234457
         268     1.08262      1.4549   0.0233996
         269     1.08308     1.45352   0.0233534
         270     1.08354     1.45215   0.0233071
         271     1.08399     1.45079   0.0232607
         272     1.08444     1.44944   0.0232141
         273     1.08488     1.44811   0.0231674
         274     1.08531     1.44679   0.0231207
         275     1.08574     1.44547   0.0230739
         276     1.08616     1.44417    0.023027
         277     1.08658     1.44288     0.02298
         278       1.087      1.4416    0.022933
         279     1.08741     1.44033   0.0228859
         280     1.08782     1.43907   0.0228387
         281     1.08823     1.43782   0.0227916
         282     1.08863     1.43658   0.0227444
         283     1.08903     1.43536   0.0226971
         284     1.08942     1.43414   0.0226499
         285     1.08981     1.43293   0.0226026
         286     1.09019     1.43173   0.0225553
         287     1.09058     1.43054    0.022508
         288     1.09095     1.42936   0.0224607
         289     1.09132     1.42819   0.0224134
         290     1.09169     1.42703   0.0223662
         291     1.09205     1.42588   0.0223189
         292      1.0924     1.42474   0.0222717
         293     1.09275     1.42361   0.0222245
         294     1.09309     1.42248   0.0221773
         295     1.09342     1.42137   0.0221302
         296     1.09375     1.42026   0.0220831
         297     1.09407     1.41916    0.022036
         298     1.09438     1.41807    0.021989
         299     1.09469     1.41699    0.021942
         300     1.09498     1.41592   0.0218951
         301     1.09527     1.41485   0.0218483
         302     1.09555      1.4138   0.0218015
         303     1.09582     1.41275   0.0217548
         304     1.09608      1.4117   0.0217082
         305     1.09634     1.41067   0.0216616
         306     1.09659     1.40964   0.0216151
         307     1.09683     1.40862   0.0215687
         308     1.09706     1.40761   0.0215224
         309     1.09729     1.40661   0.0214762
         310     1.09751     1.40561     0.02143
         311     1.09773     1.40462    0.021384
         312     1.09794     1.40364    0.021338
         313     1.09816     1.40266   0.0212921
         314     1.09837     1.40169   0.0212464
         315     1.09857     1.40073   0.0212007
         316     1.09878     1.39978   0.0211551
         317     1.09899     1.39883   0.0211097
         318     1.09921     1.39788   0.0210643
         319     1.09942     1.39695    0.021019
         320     1.09964     1.39602   0.0209739
         321     1.09987      1.3951   0.0209288
         322      1.1001     1.39418   0.0208839
         323     1.10034     1.39327    0.020839
         324     1.10058     1.39237   0.0207943
         325     1.10084     1.39147   0.0207496
         326     1.10111     1.39058   0.0207051
         327     1.10138      1.3897   0.0206606
         328     1.10167     1.38882   0.0206163
         329     1.10198     1.38795   0.0205721
         330     1.10229     1.38708   0.0205279
         331     1.10261     1.38622   0.0204839
         332     1.10295     1.38537     0.02044
         333      1.1033     1.38452   0.0203961
         334     1.10367     1.38368   0.0203524
         335     1.10404     1.38285   0.0203087
         336     1.10443     1.38202   0.0202652
         337     1.10483     1.38119   0.0202217
         338     1.10524     1.38038   0.0201784
         339     1.10566     1.37957   0.0201351
         340     1.10608     1.37876    0.020092
         341     1.10652     1.37796   0.0200489
         342     1.10695     1.37717   0.0200059
         343      1.1074     1.37639   0.0199631
         344     1.10784     1.37561   0.0199203
         345     1.10828     1.37483   0.0198776
         346     1.10873     1.37406    0.019835
         347     1.10916      1.3733   0.0197926
         348     1.10959     1.37254   0.0197502
         349     1.11002     1.37179   0.0197079
         350     1.11043     1.37104   0.0196657
         351     1.11083      1.3703   0.0196237
         352     1.11122     1.36956   0.0195817
         353     1.11159     1.36883   0.0195399
         354     1.11195     1.36811   0.0194982
         355     1.11228     1.36739   0.0194566
         356     1.11259     1.36667   0.0194151
         357     1.11287     1.36596   0.0193737
         358     1.11313     1.36525   0.0193324
         359     1.11336     1.36455   0.0192913
         360     1.11356     1.36385   0.0192503
         361     1.11373     1.36316   0.0192095
         362     1.11387     1.36247   0.0191687
         363     1.11397     1.36179   0.0191282
         364     1.11404     1.36111   0.0190877
         365     1.11407     1.36043   0.0190474
         366     1.11407     1.35976   0.0190073
         367     1.11403     1.35909   0.0189673
         368     1.11395     1.35842   0.0189274
         369     1.11384     1.35776   0.0188877
         370     1.11369      1.3571   0.0188482
         371      1.1135     1.35644   0.0188088
         372     1.11328     1.35579   0.0187696
         373     1.11301     1.35514   0.0187306
         374     1.11272     1.35449   0.0186917
         375     1.11238     1.35385    0.018653
         376     1.11202      1.3532   0.0186145
         377     1.11162     1.35256   0.0185761
         378     1.11118     1.35192    0.018538
         379     1.11072     1.35129      0.0185
         380     1.11023     1.35065   0.0184622
         381     1.10971     1.35002   0.0184245
         382     1.10916     1.34939   0.0183871
         383     1.10859     1.34876   0.0183498
         384       1.108     1.34813   0.0183127
         385     1.10739     1.34751   0.0182758
         386     1.10675     1.34688   0.0182391
         387      1.1061     1.34626   0.0182026
         388     1.10543     1.34564   0.0181663
         389     1.10475     1.34502   0.0181301
         390     1.10406      1.3444   0.0180942
         391     1.10336     1.34379   0.0180584
         392     1.10266     1.34317   0.0180228
         393     1.10194     1.34256   0.0179874
         394     1.10123     1.34195   0.0179522
         395     1.10051     1.34134   0.0179171
         396     1.09979     1.34073   0.0178823
         397     1.09907     1.34012   0.0178476
         398     1.09836     1.33951   0.0178131
         399     1.09765      1.3389   0.0177787
         400     1.09695      1.3383   0.0177446
         401     1.09625     1.33769   0.0177106
         402     1.09557     1.33709   0.0176768
         403      1.0949     1.33649   0.0176431
         404     1.09424     1.33589   0.0176096
         405     1.09359     1.33529   0.0175763
         406     1.09296      1.3347   0.0175431
         407     1.09235      1.3341   0.0175101
         408     1.09176     1.33351   0.0174773
         409     1.09119     1.33291   0.0174446
         410     1.09063     1.33232   0.0174121
         411      1.0901     1.33173   0.0173797
         412      1.0896     1.33115   0.0173474
         413     1.08911     1.33056   0.0173153
         414     1.08865     1.32998   0.0172833
         415     1.08822     1.32939   0.0172515
         416     1.08781     1.32881   0.0172198
         417     1.08743     1.32823   0.0171882
         418     1.08708     1.32766   0.0171568
         419     1.08676     1.32708   0.0171255
         420     1.08647     1.32651   0.0170943
         421     1.08621     1.32594   0.0170632
         422     1.08598     1.32537   0.0170323
         423     1.08578      1.3248   0.0170014
         424     1.08562     1.32424   0.0169707
         425     1.08549     1.32368     0.01694
         426     1.08539     1.32312   0.0169095
         427     1.08533     1.32256   0.0168791
         428     1.08531     1.32201   0.0168487
         429     1.08532     1.32146   0.0168185
         430     1.08538     1.32091   0.0167883
         431     1.08547     1.32036   0.0167583
         432      1.0856     1.31982   0.0167283
         433     1.08578     1.31928   0.0166984
         434       1.086     1.31874   0.0166685
         435     1.08626      1.3182   0.0166388
         436     1.08656     1.31767   0.0166091
         437     1.08691     1.31714   0.0165795
         438     1.08731     1.31662   0.0165499
         439     1.08776      1.3161   0.0165205
         440     1.08825     1.31558    0.016491
         441     1.08879     1.31507   0.0164616
         442     1.08939     1.31456   0.0164323
         443     1.09003     1.31405    0.016403
         444     1.09072     1.31355   0.0163738
         445     1.09147     1.31305   0.0163446
         446     1.09227     1.31255   0.0163155
