#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         595    -5.12126    -5.29314   0.0187833
         596    -5.12003    -5.29285   0.0187541
         597    -5.11877    -5.29255   0.0187249
         598    -5.11749    -5.29226   0.0186959
         599    -5.11587    -5.29197    0.018667
         600    -5.11437    -5.29167   0.0186382
         601     -5.1127    -5.29137   0.0186096
         602     -5.1113    -5.29107   0.0185811
         603    -5.10987    -5.29077   0.0185527
         604    -5.10841    -5.29047   0.0185244
         605    -5.10678    -5.29017   0.0184963
         606    -5.10527    -5.28986   0.0184683
         607    -5.10373    -5.28956   0.0184404
         608    -5.10187    -5.28925   0.0184127
         609    -5.10014    -5.28894   0.0183851
         610    -5.09854    -5.28863   0.0183576
         611    -5.09707    -5.28831   0.0183302
         612    -5.09588      -5.288    0.018303
         613    -5.09422    -5.28768   0.0182758
         614    -5.09224    -5.28736   0.0182488
         615    -5.09054    -5.28704    0.018222
         616    -5.08898    -5.28672   0.0181952
         617    -5.08711     -5.2864   0.0181686
         618    -5.08537    -5.28607   0.0181421
         619    -5.08347    -5.28575   0.0181158
         620    -5.08141    -5.28542   0.0180895
         621    -5.07934    -5.28508   0.0180635
         622    -5.07741    -5.28475   0.0180375
         623    -5.07563    -5.28441   0.0180117
         624    -5.07414    -5.28408    0.017986
         625    -5.07235    -5.28374   0.0179604
         626     -5.0707     -5.2834   0.0179349
         627    -5.06875    -5.28306   0.0179096
         628    -5.06665    -5.28271   0.0178844
         629    -5.06499    -5.28236   0.0178593
         630    -5.06303    -5.28202   0.0178343
         631    -5.06138    -5.28167   0.0178095
         632    -5.05942    -5.28132   0.0177848
         633    -5.05746    -5.28096   0.0177602
         634     -5.0558    -5.28061   0.0177357
         635    -5.05399    -5.28025   0.0177114
         636    -5.05218    -5.27989   0.0176872
         637    -5.05037    -5.27953   0.0176631
         638    -5.04856    -5.27917   0.0176391
         639    -5.04675    -5.27881   0.0176152
         640    -5.04494    -5.27844   0.0175915
         641    -5.04328    -5.27807   0.0175679
         642    -5.04132     -5.2777   0.0175444
         643    -5.03951    -5.27733    0.017521
         644     -5.0377    -5.27696   0.0174978
         645    -5.03573    -5.27659   0.0174746
         646    -5.03346    -5.27621   0.0174516
         647    -5.03163    -5.27583   0.0174288
         648    -5.02996    -5.27545    0.017406
         649    -5.02798    -5.27507   0.0173834
         650    -5.02615    -5.27469   0.0173608
         651    -5.02416     -5.2743   0.0173384
         652    -5.02262    -5.27392   0.0173161
         653    -5.02077    -5.27353   0.0172939
         654    -5.01907    -5.27314   0.0172719
         655    -5.01706    -5.27275   0.0172499
         656    -5.01535    -5.27236   0.0172281
         657    -5.01348    -5.27196   0.0172064
