#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         216     2.39698    -1.38091    0.177131
         217     2.39523    -1.36351    0.177167
         218     2.39345    -1.34628    0.177191
         219     2.39167    -1.32921    0.177202
         220     2.38992     -1.3123    0.177201
         221     2.38703    -1.29556    0.177188
         222     2.38446    -1.27899    0.177163
         223     2.38151    -1.26257    0.177128
         224     2.37917    -1.24631    0.177081
         225     2.37626    -1.23021    0.177025
         226     2.37352    -1.21427    0.176958
         227     2.37049    -1.19848    0.176882
         228     2.36767    -1.18284    0.176796
         229     2.36507    -1.16734    0.176702
         230     2.36175      -1.152    0.176598
         231     2.35915     -1.1368    0.176487
         232     2.35659    -1.12174    0.176367
         233     2.35406    -1.10682     0.17624
         234     2.35109    -1.09205    0.176105
         235     2.34818    -1.07741    0.175963
         236     2.34533     -1.0629    0.175815
         237     2.34303    -1.04853    0.175659
         238     2.33984     -1.0343    0.175497
         239      2.3377    -1.02019    0.175329
         240      2.3354    -1.00621    0.175155
         241      2.3327   -0.992351    0.174975
         242     2.33105   -0.978618     0.17479
         243     2.32877   -0.965007      0.1746
         244     2.32706   -0.951515    0.174405
         245      2.3252   -0.938141    0.174205
         246     2.32343   -0.924883    0.174001
         247     2.32223   -0.911736    0.173792
         248     2.32015   -0.898705     0.17358
         249     2.31815   -0.885785    0.173363
         250     2.31672   -0.872975    0.173142
         251     2.31511   -0.860274    0.172917
         252     2.31334    -0.84768    0.172689
         253     2.31188   -0.835192    0.172457
         254     2.31072   -0.822806    0.172223
         255     2.30987   -0.810521    0.171985
         256     2.30882   -0.798336    0.171744
         257     2.30807   -0.786249    0.171501
         258     2.30689    -0.77426    0.171254
         259     2.30647   -0.762366    0.171006
         260     2.30584   -0.750565    0.170755
         261     2.30476   -0.738859    0.170501
         262     2.30395   -0.727245    0.170246
         263     2.30292   -0.715723    0.169988
         264     2.30215   -0.704292    0.169728
         265     2.30068   -0.692952    0.169466
         266     2.30017     -0.6817    0.169202
         267     2.29968   -0.670534    0.168936
         268     2.29894   -0.659454    0.168669
         269     2.29845   -0.648458      0.1684
         270     2.29772   -0.637546    0.168129
         271     2.29746   -0.626716    0.167857
         272     2.29671   -0.615968    0.167584
         273     2.29572   -0.605302    0.167309
         274     2.29543   -0.594716    0.167033
         275      2.2949   -0.584208    0.166756
         276     2.29435   -0.573778    0.166477
         277     2.29355   -0.563427    0.166198
         278     2.29274   -0.553153    0.165917
         279     2.29192   -0.542956    0.165636
         280     2.29108   -0.532834    0.165353
         281     2.28951    -0.52279    0.165069
         282     2.28889    -0.51282    0.164785
         283     2.28803   -0.502923      0.1645
         284     2.28715   -0.493098    0.164213
         285     2.28627   -0.483346    0.163927
         286     2.28539   -0.473665    0.163639
         287     2.28353   -0.464058    0.163351
         288     2.28288    -0.45452    0.163062
         289     2.28247    -0.44505    0.162772
         290     2.28158   -0.435648    0.162482
         291     2.28093   -0.426312    0.162192
         292     2.28029   -0.417043    0.161901
         293     2.27917   -0.407841     0.16161
         294      2.2783   -0.398705    0.161318
         295     2.27744   -0.389633    0.161026
         296     2.27659   -0.380625    0.160734
         297     2.27624    -0.37168    0.160441
         298     2.27542   -0.362797    0.160149
         299     2.27461   -0.353976    0.159856
         300     2.27358   -0.345218    0.159563
         301     2.27256   -0.336521     0.15927
         302      2.2718   -0.327884    0.158976
         303     2.27129   -0.319306    0.158683
         304     2.27056   -0.310786    0.158389
         305     2.26936   -0.302327    0.158096
         306     2.26889   -0.293924    0.157802
         307     2.26819   -0.285579    0.157509
         308     2.26701   -0.277291    0.157215
         309     2.26608    -0.26906    0.156922
         310     2.26587   -0.260883    0.156628
         311     2.26542    -0.25276    0.156335
         312     2.26448   -0.244692    0.156042
         313     2.26354   -0.236678    0.155749
         314     2.26354   -0.228716    0.155457
         315      2.2628   -0.220806    0.155164
         316     2.26204   -0.212949    0.154872
         317     2.26126   -0.205144     0.15458
         318     2.25996   -0.197392    0.154288
         319     2.25935   -0.189691    0.153997
         320     2.25846    -0.18204    0.153705
         321     2.25753    -0.17444    0.153414
         322     2.25656    -0.16689    0.153124
         323     2.25504   -0.159392    0.152833
         324     2.25276   -0.151947    0.152542
         325     2.25186   -0.144551    0.152252
         326     2.25017   -0.137205    0.151962
         327     2.24867   -0.129909    0.151673
         328     2.24758   -0.122661    0.151383
         329     2.24618    -0.11546    0.151094
         330     2.24448   -0.108309    0.150806
         331     2.24295   -0.101206    0.150517
         332     2.24112  -0.0941503    0.150229
         333     2.23898   -0.087144    0.149941
         334     2.23702  -0.0801854    0.149654
         335       2.235  -0.0732744    0.149367
         336     2.23268  -0.0664114     0.14908
         337     2.23104   -0.059594    0.148793
         338     2.22911  -0.0528227    0.148507
         339     2.22714  -0.0460972    0.148221
         340     2.22465  -0.0394185    0.147935
         341     2.22334  -0.0327829     0.14765
         342     2.22177  -0.0261906    0.147366
         343     2.21947  -0.0196435    0.147081
         344     2.21764  -0.0131398    0.146798
         345     2.21534  -0.0066804    0.146514
         346     2.21306-0.000264975    0.146231
         347     2.21152  0.00610905    0.145948
         348     2.20978   0.0124414    0.145666
         349     2.20736   0.0187306    0.145385
         350     2.20596   0.0249798    0.145104
         351     2.20462   0.0311896    0.144823
         352     2.20264   0.0373585    0.144543
         353      2.2005   0.0434864    0.144263
         354     2.19894   0.0495753    0.143984
         355     2.19748   0.0556257    0.143706
         356     2.19589   0.0616377    0.143428
         357     2.19466   0.0676125     0.14315
         358     2.19357    0.073551    0.142874
         359     2.19309    0.079455    0.142598
         360     2.19227   0.0853239    0.142322
         361     2.19208   0.0911598    0.142048
         362     2.19157    0.096962    0.141774
         363     2.19145    0.102732      0.1415
         364     2.19102    0.108469    0.141228
         365     2.19099    0.114175    0.140956
         366     2.19138     0.11985    0.140685
         367     2.19169    0.125495    0.140415
         368     2.19241    0.131112    0.140146
         369     2.19331    0.136701    0.139877
         370     2.19438    0.142262     0.13961
         371     2.19562    0.147797    0.139343
         372     2.19703    0.153305    0.139078
         373      2.1986    0.158789    0.138813
         374      2.2001    0.164247    0.138549
         375     2.20176     0.16968    0.138286
         376     2.20405    0.175091    0.138024
         377       2.206    0.180478    0.137763
         378     2.20786    0.185841    0.137503
         379     2.21034    0.191183    0.137244
         380     2.21295    0.196503    0.136986
         381     2.21544    0.201802    0.136729
         382     2.21829    0.207081    0.136472
         383     2.22101    0.212339    0.136217
         384     2.22406    0.217578    0.135963
         385     2.22673    0.222797     0.13571
         386     2.22972    0.227996    0.135458
         387     2.23279    0.233176    0.135207
         388     2.23737    0.238342    0.134957
         389     2.24055    0.243489    0.134709
         390     2.24379    0.248618    0.134461
         391      2.2473     0.25373    0.134214
         392     2.25109    0.258825    0.133968
         393     2.25465    0.263903    0.133724
         394     2.25799    0.268964     0.13348
         395     2.26109    0.274008    0.133237
