#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         221    -6.55482    -6.67837   0.0105941
         222    -6.62857    -6.67815   0.0105487
         223     -6.6408    -6.67798   0.0105027
         224    -6.58764    -6.67758   0.0104636
         225    -6.64888    -6.67745   0.0104179
         226    -6.63652    -6.67727   0.0103734
         227    -6.68823    -6.67732   0.0103278
         228    -6.67687    -6.67732   0.0102825
         229    -6.69024    -6.67737   0.0102377
         230    -6.74311    -6.67766   0.0101972
         231    -6.70577    -6.67778   0.0101538
         232    -6.72799      -6.678   0.0101123
         233    -6.76604    -6.67837    0.010076
         234    -6.76075    -6.67873   0.0100391
         235    -6.84754    -6.67944    0.010022
         236    -6.83185    -6.68009   0.0100003
         237     -6.8867    -6.68096  0.00999607
         238    -6.85331    -6.68169  0.00998026
         239    -6.81137    -6.68223  0.00995324
         240    -6.77474    -6.68261  0.00991923
         241    -6.81981    -6.68318   0.0098944
         242    -6.72314    -6.68335  0.00985489
         243    -6.75482    -6.68364  0.00981872
         244    -6.80101    -6.68412  0.00979025
         245    -6.80552    -6.68462  0.00976282
         246    -6.86422    -6.68535   0.0097504
         247    -6.77729    -6.68572  0.00971803
         248    -6.82396    -6.68628  0.00969481
         249     -6.7886    -6.68669  0.00966458
         250    -6.78877     -6.6871  0.00963455
         251    -6.77992    -6.68747  0.00960326
         252    -6.71252    -6.68757  0.00956566
         253    -6.69736    -6.68761  0.00952793
         254    -6.68561     -6.6876  0.00949042
         255    -6.64409    -6.68743  0.00945474
         256    -6.66443    -6.68734  0.00941823
         257    -6.64643    -6.68718  0.00938293
         258    -6.63457    -6.68698  0.00934878
         259    -6.65719    -6.68686  0.00931339
         260    -6.61795     -6.6866  0.00928134
         261    -6.54986    -6.68607  0.00926055
         262    -6.57511    -6.68565  0.00923489
         263    -6.62818    -6.68543  0.00920236
         264    -6.56512    -6.68497  0.00917878
         265    -6.58857    -6.68461  0.00915135
         266    -6.49237    -6.68389  0.00914544
         267    -6.43012    -6.68294  0.00916044
         268    -6.38853    -6.68184  0.00919189
         269    -6.53417    -6.68129   0.0091741
         270    -6.61305    -6.68104   0.0091436
         271    -6.68816    -6.68106   0.0091099
         272    -6.64391    -6.68093  0.00907743
         273    -6.65679    -6.68084  0.00904461
         274    -6.69108    -6.68087  0.00901168
         275    -6.64679    -6.68075  0.00897976
         276    -6.66701     -6.6807  0.00894736
         277     -6.6321    -6.68053  0.00891678
         278    -6.68028    -6.68052   0.0088847
         279    -6.72047    -6.68067  0.00885401
         280    -6.69614    -6.68072  0.00882256
         281     -6.6854    -6.68074  0.00879118
         282    -6.65102    -6.68063  0.00876064
         283    -6.59417    -6.68033  0.00873501
         284    -6.61211    -6.68009  0.00870755
         285    -6.62606     -6.6799  0.00867906
         286    -6.61434    -6.67967  0.00865175
         287    -6.63397    -6.67951  0.00862307
         288     -6.6678    -6.67947  0.00859322
         289    -6.58825    -6.67915  0.00856928
         290    -6.60092    -6.67888  0.00854398
         291    -6.58907    -6.67858  0.00852019
         292    -6.53169    -6.67807  0.00850585
         293    -6.51314    -6.67751  0.00849542
         294    -6.46996     -6.6768  0.00849581
         295    -6.50385    -6.67622  0.00848721
         296    -6.48012    -6.67556  0.00848436
         297    -6.46646    -6.67485  0.00848495
         298     -6.4698    -6.67416  0.00848433
         299    -6.52542    -6.67367  0.00847053
         300    -6.64151    -6.67356  0.00844297
         301    -6.54899    -6.67314  0.00842506
         302    -6.60627    -6.67292  0.00840007
         303    -6.70737    -6.67304  0.00837312
         304     -6.7025    -6.67313  0.00834613
         305    -6.63853    -6.67302  0.00831954
         306    -6.65408    -6.67296  0.00829258
         307     -6.6966    -6.67304  0.00826593
         308    -6.74638    -6.67327  0.00824252
         309    -6.72115    -6.67343   0.0082173
         310    -6.77094    -6.67374  0.00819681
         311    -6.77171    -6.67406  0.00817651
         312    -6.75915    -6.67433  0.00815485
         313    -6.76764    -6.67463  0.00813424
         314    -6.83084    -6.67513  0.00812353
         315    -6.77199    -6.67543  0.00810356
         316    -6.73403    -6.67562  0.00808004
         317    -6.79181    -6.67599  0.00806286
         318    -6.81335    -6.67642  0.00804907
