#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         244          -1   -0.987541  0.00185708
         245          -1   -0.987592   0.0018502
         246          -1   -0.987642  0.00184336
         247          -1   -0.987692  0.00183658
         248          -1   -0.987742  0.00182984
         249          -1   -0.987791  0.00182316
         250          -1    -0.98784  0.00181652
         251          -1   -0.987888  0.00180993
         252          -1   -0.987937  0.00180338
         253          -1   -0.987984  0.00179688
         254          -1   -0.988031  0.00179043
         255          -1   -0.988078  0.00178403
         256          -1   -0.988125  0.00177767
         257          -1   -0.988171  0.00177135
         258          -1   -0.988217  0.00176508
         259          -1   -0.988263  0.00175885
         260          -1   -0.988308  0.00175266
         261          -1   -0.988352  0.00174652
         262          -1   -0.988397  0.00174042
         263          -1   -0.988441  0.00173436
         264          -1   -0.988485  0.00172834
         265          -1   -0.988528  0.00172237
         266          -1   -0.988571  0.00171643
         267          -1   -0.988614  0.00171054
         268          -1   -0.988657  0.00170468
         269          -1   -0.988699  0.00169887
         270          -1   -0.988741  0.00169309
         271          -1   -0.988782  0.00168735
         272          -1   -0.988824  0.00168165
         273          -1   -0.988864  0.00167599
         274          -1   -0.988905  0.00167037
         275          -1   -0.988945  0.00166478
         276          -1   -0.988986  0.00165923
         277          -1   -0.989025  0.00165372
         278          -1   -0.989065  0.00164824
         279          -1   -0.989104   0.0016428
         280          -1   -0.989143  0.00163739
         281          -1   -0.989181  0.00163202
         282          -1    -0.98922  0.00162668
         283          -1   -0.989258  0.00162138
         284          -1   -0.989296  0.00161611
         285          -1   -0.989333  0.00161088
         286          -1   -0.989371  0.00160568
         287          -1   -0.989408  0.00160051
         288          -1   -0.989444  0.00159538
         289          -1   -0.989481  0.00159027
         290          -1   -0.989517   0.0015852
         291          -1   -0.989553  0.00158017
         292          -1   -0.989589  0.00157516
         293          -1   -0.989625  0.00157018
         294          -1    -0.98966  0.00156524
         295          -1   -0.989695  0.00156033
         296          -1    -0.98973  0.00155544
