#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         309     0.90135    0.900442 2.27928e-05
         310    0.901359    0.900445 2.29105e-05
         311    0.901368    0.900448 2.30284e-05
         312    0.901377    0.900451 2.31466e-05
         313    0.901387    0.900454 2.32651e-05
         314    0.901396    0.900457 2.33839e-05
         315    0.901406     0.90046 2.35029e-05
         316    0.901415    0.900463 2.36222e-05
         317    0.901424    0.900466 2.37417e-05
         318    0.901434    0.900469 2.38615e-05
         319    0.901443    0.900472 2.39815e-05
         320    0.901453    0.900475 2.41019e-05
         321    0.901463    0.900478 2.42225e-05
         322    0.901472    0.900481 2.43433e-05
         323    0.901482    0.900484 2.44644e-05
         324    0.901492    0.900487 2.45858e-05
         325    0.901502     0.90049 2.47075e-05
         326    0.901511    0.900493 2.48294e-05
         327    0.901521    0.900497 2.49516e-05
         328    0.901531      0.9005 2.50741e-05
         329    0.901541    0.900503 2.51968e-05
         330    0.901551    0.900506 2.53198e-05
         331    0.901561    0.900509 2.54431e-05
         332    0.901571    0.900512 2.55666e-05
         333    0.901581    0.900516 2.56904e-05
         334    0.901591    0.900519 2.58145e-05
         335    0.901601    0.900522 2.59388e-05
         336    0.901611    0.900525 2.60634e-05
         337    0.901622    0.900529 2.61883e-05
         338    0.901632    0.900532 2.63135e-05
         339    0.901642    0.900535 2.64389e-05
         340    0.901652    0.900538 2.65646e-05
         341    0.901663    0.900542 2.66905e-05
         342    0.901673    0.900545 2.68167e-05
         343    0.901684    0.900548 2.69432e-05
         344    0.901694    0.900552   2.707e-05
         345    0.901705    0.900555  2.7197e-05
         346    0.901715    0.900558 2.73243e-05
         347    0.901726    0.900562 2.74518e-05
         348    0.901736    0.900565 2.75797e-05
         349    0.901747    0.900569 2.77078e-05
         350    0.901758    0.900572 2.78361e-05
         351    0.901768    0.900575 2.79648e-05
         352    0.901779    0.900579 2.80937e-05
         353     0.90179    0.900582 2.82229e-05
         354    0.901801    0.900586 2.83523e-05
         355    0.901812    0.900589  2.8482e-05
         356    0.901823    0.900593  2.8612e-05
         357    0.901834    0.900596 2.87422e-05
         358    0.901845      0.9006 2.88728e-05
         359    0.901856    0.900603 2.90036e-05
         360    0.901867    0.900607 2.91346e-05
         361    0.901878     0.90061  2.9266e-05
         362    0.901889    0.900614 2.93976e-05
         363      0.9019    0.900617 2.95295e-05
         364    0.901911    0.900621 2.96616e-05
         365    0.901923    0.900624 2.97941e-05
         366    0.901934    0.900628 2.99268e-05
         367    0.901945    0.900631 3.00597e-05
         368    0.901957    0.900635  3.0193e-05
         369    0.901968    0.900639 3.03265e-05
         370     0.90198    0.900642 3.04603e-05
         371    0.901991    0.900646 3.05944e-05
         372    0.902003     0.90065 3.07287e-05
         373    0.902014    0.900653 3.08633e-05
         374    0.902026    0.900657 3.09982e-05
         375    0.902037    0.900661 3.11334e-05
         376    0.902049    0.900664 3.12689e-05
         377    0.902061    0.900668 3.14046e-05
         378    0.902073    0.900672 3.15406e-05
         379    0.902084    0.900675 3.16769e-05
         380    0.902096    0.900679 3.18134e-05
         381    0.902108    0.900683 3.19503e-05
         382     0.90212    0.900687 3.20874e-05
         383    0.902132     0.90069 3.22248e-05
         384    0.902144    0.900694 3.23625e-05
         385    0.902156    0.900698 3.25004e-05
         386    0.902168    0.900702 3.26386e-05
         387     0.90218    0.900706 3.27771e-05
         388    0.902193    0.900709 3.29159e-05
         389    0.902205    0.900713  3.3055e-05
         390    0.902217    0.900717 3.31944e-05
         391    0.902229    0.900721  3.3334e-05
         392    0.902242    0.900725 3.34739e-05
         393    0.902254    0.900729 3.36141e-05
         394    0.902266    0.900733 3.37545e-05
         395    0.902279    0.900737 3.38953e-05
         396    0.902291    0.900741 3.40363e-05
         397    0.902304    0.900744 3.41776e-05
         398    0.902317    0.900748 3.43192e-05
         399    0.902329    0.900752 3.44611e-05
         400    0.902342    0.900756 3.46033e-05
         401    0.902354     0.90076 3.47457e-05
         402    0.902367    0.900764 3.48885e-05
         403     0.90238    0.900768 3.50315e-05
         404    0.902393    0.900772 3.51748e-05
         405    0.902406    0.900776 3.53184e-05
         406    0.902419     0.90078 3.54623e-05
         407    0.902432    0.900785 3.56064e-05
         408    0.902445    0.900789 3.57509e-05
         409    0.902458    0.900793 3.58956e-05
         410    0.902471    0.900797 3.60407e-05
         411    0.902484    0.900801  3.6186e-05
         412    0.902497    0.900805 3.63316e-05
         413     0.90251    0.900809 3.64775e-05
         414    0.902523    0.900813 3.66236e-05
         415    0.902537    0.900817 3.67701e-05
         416     0.90255    0.900822 3.69169e-05
         417    0.902563    0.900826 3.70639e-05
         418    0.902577     0.90083 3.72112e-05
         419     0.90259    0.900834 3.73589e-05
         420    0.902604    0.900838 3.75068e-05
